"language","rank","channel_name","language_reactor_displayed_count","youtube_search_url","language_reactor_catalog_url"
"fr","1","innerFrench","275","https://www.youtube.com/results?search_query=innerFrench","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","2","Français avec Pierre","675","https://www.youtube.com/results?search_query=Fran%C3%A7ais%20avec%20Pierre","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","3","Français avec Nelly","114","https://www.youtube.com/results?search_query=Fran%C3%A7ais%20avec%20Nelly","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","4","Le Corps La Maison L'esprit","505","https://www.youtube.com/results?search_query=Le%20Corps%20La%20Maison%20L'esprit","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","5","ARTE","127","https://www.youtube.com/results?search_query=ARTE","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","6","Français Authentique","715","https://www.youtube.com/results?search_query=Fran%C3%A7ais%20Authentique","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","7","Le Monde","196","https://www.youtube.com/results?search_query=Le%20Monde","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","8","Cyprien","177","https://www.youtube.com/results?search_query=Cyprien","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","9","HugoDécrypte - Actus du jour","252","https://www.youtube.com/results?search_query=HugoD%C3%A9crypte%20-%20Actus%20du%20jour","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","10","Norman","54","https://www.youtube.com/results?search_query=Norman","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","11","French Comprehensible Input","229","https://www.youtube.com/results?search_query=French%20Comprehensible%20Input","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","12","Nota Bene","733","https://www.youtube.com/results?search_query=Nota%20Bene","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","13","Antoine Peytavin - Je récupère mon ex","571","https://www.youtube.com/results?search_query=Antoine%20Peytavin%20-%20Je%20r%C3%A9cup%C3%A8re%20mon%20ex","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","14","Français avec Fluidité - Fabien","284","https://www.youtube.com/results?search_query=Fran%C3%A7ais%20avec%20Fluidit%C3%A9%20-%20Fabien","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","15","FabienOlicard","771","https://www.youtube.com/results?search_query=FabienOlicard","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","16","alice ayel","392","https://www.youtube.com/results?search_query=alice%20ayel","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","17","SQUEEZIE","582","https://www.youtube.com/results?search_query=SQUEEZIE","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","18","Axolot","59","https://www.youtube.com/results?search_query=Axolot","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","19","Le Dessous des Cartes - ARTE","631","https://www.youtube.com/results?search_query=Le%20Dessous%20des%20Cartes%20-%20ARTE","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","20","French School TV","387","https://www.youtube.com/results?search_query=French%20School%20TV","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","21","Brut","93","https://www.youtube.com/results?search_query=Brut","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","22","FRANCE 24","475","https://www.youtube.com/results?search_query=FRANCE%2024","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","23","Peppa Pig Français - Chaîne Officielle","54","https://www.youtube.com/results?search_query=Peppa%20Pig%20Fran%C3%A7ais%20-%20Cha%C3%AEne%20Officielle","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","24","HugoDécrypte - Grands formats","251","https://www.youtube.com/results?search_query=HugoD%C3%A9crypte%20-%20Grands%20formats","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
"fr","25","Documentaire Société","595","https://www.youtube.com/results?search_query=Documentaire%20Soci%C3%A9t%C3%A9","https://www.languagereactor.com/c/fr/yt/t_yt_all_fr"
